Timestamp,EventType,User,SourceIP,Database,Query,RowsAffected,Details,Result
2024-10-10 08:32:22,CONNECTION,safevault_app,10.20.1.10,safevault_prod,N/A,N/A,Application connection established,Success
2024-10-10 08:47:38,QUERY,safevault_app,10.20.1.10,safevault_prod,SELECT * FROM backup_jobs WHERE status='running',23,Query executed successfully,Success
2024-10-10 09:15:44,QUERY,safevault_app,10.20.1.10,safevault_prod,INSERT INTO backup_logs (customer_id...) VALUES (...),1,Backup log entry created,Success
2024-10-10 09:35:22,QUERY,safevault_app,10.20.1.10,safevault_prod,UPDATE backup_jobs SET status='completed' WHERE id=4521,1,Job status updated,Success
2024-10-10 10:15:55,QUERY,safevault_app,10.20.1.10,safevault_prod,SELECT COUNT(*) FROM customers,1,Customer count retrieved: 847,Success
2024-10-10 10:48:33,CONNECTION,safevault_app,10.20.1.10,safevault_prod,N/A,N/A,New connection from application,Success
2024-10-10 11:22:18,QUERY,safevault_app,10.20.1.10,safevault_prod,SELECT * FROM backup_schedules WHERE active=true,142,Active schedules retrieved,Success
2024-10-10 11:55:47,QUERY,safevault_app,10.20.1.10,safevault_prod,INSERT INTO customer_files (file_name...) VALUES (...),1,File metadata inserted,Success
2024-10-10 12:33:29,QUERY,safevault_app,10.20.1.10,safevault_prod,UPDATE customers SET last_backup=NOW() WHERE id=1247,1,Customer last backup timestamp updated,Success
2024-10-10 13:08:44,QUERY,safevault_app,10.20.1.10,safevault_prod,DELETE FROM backup_logs WHERE created_at < NOW() - INTERVAL '90 days',342,Old logs purged,Success
2024-10-10 13:45:22,CONNECTION,safevault_app,10.20.1.10,safevault_prod,N/A,N/A,Connection pool refresh,Success
2024-10-10 14:22:38,QUERY,safevault_app,10.20.1.10,safevault_prod,SELECT * FROM backup_jobs WHERE created_at > NOW() - INTERVAL '1 hour',15,Recent jobs retrieved,Success
2024-10-10 15:08:17,QUERY,safevault_app,10.20.1.10,safevault_prod,INSERT INTO backup_logs (customer_id...) VALUES (...),1,Backup log entry created,Success
2024-10-10 15:44:33,QUERY,safevault_app,10.20.1.10,safevault_prod,UPDATE backup_jobs SET progress=75 WHERE id=4789,1,Job progress updated,Success
2024-10-10 16:22:55,CONNECTION,safevault_app,10.20.1.10,safevault_prod,N/A,N/A,Application connection established,Success
2024-10-10 16:58:44,QUERY,safevault_app,10.20.1.10,safevault_prod,SELECT * FROM customers WHERE subscription_status='active',798,Active customers retrieved,Success
2024-10-10 17:35:18,QUERY,safevault_app,10.20.1.10,safevault_prod,INSERT INTO audit_log (action...) VALUES (...),1,Audit entry created,Success
2024-10-11 02:00:33,MAINTENANCE,postgres,localhost,safevault_prod,VACUUM ANALYZE,N/A,Automatic vacuum process started,Success
2024-10-11 02:15:42,BACKUP,postgres,localhost,safevault_prod,pg_dump,N/A,Nightly database backup completed,Success
2024-10-11 08:18:22,CONNECTION,safevault_app,10.20.1.10,safevault_prod,N/A,N/A,Application connection established,Success
2024-10-11 08:35:44,QUERY,safevault_app,10.20.1.10,safevault_prod,SELECT * FROM backup_jobs WHERE status='pending',8,Pending jobs retrieved,Success
2024-10-11 09:08:52,CONNECTION,safevault_app,10.20.1.10,safevault_prod,N/A,N/A,Connection from VPN user,Success
2024-10-11 09:12:38,QUERY,safevault_app,10.20.1.10,safevault_prod,SELECT * FROM backup_schedules,156,All schedules retrieved,Success
2024-10-11 09:45:33,QUERY,safevault_app,10.20.1.10,safevault_prod,INSERT INTO backup_logs (customer_id...) VALUES (...),1,Backup log entry created,Success
2024-10-11 10:22:18,QUERY,safevault_app,10.20.1.10,safevault_prod,UPDATE customers SET storage_used=storage_used+1024 WHERE id=0891,1,Customer storage updated,Success
2024-10-11 10:58:44,CONNECTION,safevault_app,10.20.1.10,safevault_prod,N/A,N/A,New connection from application,Success
2024-10-11 11:33:27,QUERY,safevault_app,10.20.1.10,safevault_prod,SELECT COUNT(*) FROM backup_jobs WHERE status='failed',7,Failed job count,Success
2024-10-11 12:15:42,QUERY,safevault_app,10.20.1.10,safevault_prod,DELETE FROM temp_data WHERE created_at < NOW() - INTERVAL '1 day',1245,Temporary data cleanup,Success
2024-10-11 13:08:33,CONNECTION,safevault_app,10.20.1.10,safevault_prod,N/A,N/A,Application connection established,Success
