Timestamp,EventType,User,SourceIP,TargetResource,Action,Details,Result
2024-10-10 08:32:20,HTTP_REQUEST,safevault_app,10.22.1.10,/api/backup/status,GET,Health check endpoint,200
2024-10-10 08:35:27,HTTP_REQUEST,safevault_app,10.22.1.10,/api/customers/list,GET,Customer list retrieval,200
2024-10-10 08:47:39,DATABASE_QUERY,safevault_app,10.22.1.10,prod-db-server-03:5432,SELECT,Query: SELECT * FROM backup_jobs WHERE status='running',Success
2024-10-10 09:12:49,HTTP_REQUEST,safevault_app,10.22.1.10,/api/backup/schedule,POST,Scheduled backup for customer ID 1567,201
2024-10-10 09:28:20,CRON_JOB,root,localhost,/opt/safevault/scripts/cleanup.sh,EXECUTE,Daily cleanup job started,Success
2024-10-10 09:45:38,HTTP_REQUEST,safevault_app,10.22.1.10,/api/restore/request,POST,Restore request from customer ID 0753,200
2024-10-10 10:15:52,DATABASE_QUERY,safevault_app,10.22.1.10,prod-db-server-03:5432,INSERT,Query: INSERT INTO backup_logs VALUES(...),Success
2024-10-10 10:33:27,HTTP_REQUEST,safevault_app,10.22.1.10,/api/health,GET,System health check,200
2024-10-10 11:05:23,FILE_ACCESS,safevault_app,10.22.1.10,/opt/safevault/logs/application.log,READ,Log rotation process,Success
2024-10-10 11:23:49,HTTP_REQUEST,safevault_app,10.22.1.10,/api/backup/complete,POST,Backup completed for customer ID 2087,200
2024-10-10 12:15:38,HTTP_REQUEST,safevault_app,10.22.1.10,/api/restore/progress,GET,Restore progress check,200
2024-10-10 12:44:60,CRON_JOB,root,localhost,/opt/safevault/scripts/backup_verification.sh,EXECUTE,Backup verification job,Success
2024-10-10 13:22:23,HTTP_REQUEST,safevault_app,10.22.1.10,/api/customers/stats,GET,Customer statistics retrieval,200
2024-10-10 14:08:32,HTTP_REQUEST,safevault_app,10.22.1.10,/api/backup/status,GET,Health check endpoint,200
2024-10-10 14:35:49,DATABASE_QUERY,safevault_app,10.22.1.10,prod-db-server-03:5432,UPDATE,Query: UPDATE backup_jobs SET status='completed' WHERE id=5012,Success
2024-10-10 15:12:34,HTTP_REQUEST,safevault_app,10.22.1.10,/api/restore/progress,GET,Restore progress check,200
2024-10-10 15:44:23,CRON_JOB,root,localhost,/opt/safevault/scripts/metrics_collector.sh,EXECUTE,Metrics collection job,Success
2024-10-10 16:24:60,HTTP_REQUEST,safevault_app,10.22.1.10,/api/health,GET,System health check,200
2024-10-10 16:55:42,DATABASE_QUERY,safevault_app,10.22.1.10,prod-db-server-03:5432,SELECT,Query: SELECT * FROM backup_jobs WHERE created_at > NOW() - INTERVAL '1 day',Success
2024-10-10 17:32:49,HTTP_REQUEST,safevault_app,10.22.1.10,/api/customers/list,GET,Customer list retrieval,200
2024-10-11 02:00:20,CRON_JOB,root,localhost,/opt/safevault/scripts/nightly_backup.sh,EXECUTE,Nightly backup job started,Success
2024-10-11 02:15:38,DATABASE_QUERY,safevault_app,10.22.1.10,prod-db-server-03:5432,SELECT,Query: SELECT * FROM backup_schedules,Success
2024-10-11 08:15:47,HTTP_REQUEST,safevault_app,10.22.1.10,/api/backup/status,GET,Health check endpoint,200
2024-10-11 08:37:57,HTTP_REQUEST,safevault_app,10.22.1.10,/api/backup/complete,POST,Backup completed for customer ID 1923,200
2024-10-11 09:12:38,DATABASE_QUERY,safevault_app,10.22.1.10,prod-db-server-03:5432,SELECT,Query: SELECT * FROM backup_schedules WHERE active=true,Success
2024-10-11 09:45:32,HTTP_REQUEST,safevault_app,10.22.1.10,/api/customers/list,GET,Customer list retrieval,200
2024-10-11 10:22:49,CRON_JOB,root,localhost,/opt/safevault/scripts/cleanup.sh,EXECUTE,Cleanup job execution,Success
2024-10-11 10:55:23,HTTP_REQUEST,safevault_app,10.22.1.10,/api/backup/schedule,POST,Scheduled backup for customer ID 2456,201
2024-10-11 11:46:60,HTTP_REQUEST,safevault_app,10.22.1.10,/api/health,GET,System health check,200
2024-10-11 12:18:34,DATABASE_QUERY,safevault_app,10.22.1.10,prod-db-server-03:5432,SELECT,Query: SELECT * FROM backup_jobs WHERE status='failed',Success
2024-10-12 02:00:27,CRON_JOB,root,localhost,/opt/safevault/scripts/nightly_backup.sh,EXECUTE,Nightly backup job started,Success
2024-10-12 08:40:38,HTTP_REQUEST,safevault_app,10.22.1.10,/api/backup/status,GET,Health check endpoint,200
